dataset,features,mtwv,p_fa,p_miss,desc_score
wbp-jk,20210127-XLSR53_transformer-L08,0.0434,0.01318,0.911,0.92146547
wbp-jk,20210127-XLSR53_transformer-L09,0.0299,0.01533,0.917,0.91761189
wbp-jk,20210127-XLSR53_transformer-L10,0.0066,0.01558,0.939,0.91955697
wbp-jk,20210127-XLSR53_transformer-L11,0.0135,0.01194,0.945,0.9224272
wbp-jk,20210127-XLSR53_transformer-L12,0.0252,0.00818,0.946,0.92773399
wbp-jk,20210127-XLSR53_transformer-L13,0.0331,0.01869,0.902,0.91844187
wbp-jk,20210127-XLSR53_transformer-L14,0.0317,0.00632,0.946,0.92895771
wbp-jk,20210127-XLSR53_transformer-L15,0.0409,0.00155,0.954,0.94112615
wbp-jk,20210127-XLSR53_transformer-L16,0.0034,3.6e-4,0.995,0.95155054
wbp-jk,20210127-XLSR53_transformer-L17,0.0151,0.01356,0.938,0.92722525
wbp-jk,20210127-XLSR53_transformer-L18,0.0336,0.00864,0.936,0.93167161
wbp-jk,20210127-XLSR53_transformer-L19,0.0243,0.01819,0.912,0.92347513
wbp-jk,20210127-XLSR53_transformer-L20,0.0057,0.00861,0.964,0.92505114
wbp-jk,20210127-XLSR53_transformer-L21,0.0328,0.02074,0.895,0.9177756
wbp-jk,20210127-XLSR53_transformer-L22,0,0,1,0.95654105
wbp-jk,20210127-XLSR53_transformer-L23,0,0,1,0.95659726
wbp-jk,20210127-XLSR53_transformer-L24,0,0,1,0.95661576
wrl-mb,20210127-XLSR53_encoder,0.4499,0.08746,0.245,0.82670572
wrl-mb,20210127-XLSR53_quantizer,0.2882,0.18106,0.081,0.6750181
wrl-mb,20210127-XLSR53_transformer-L01,0.3255,0.16058,0.115,0.87193871
wrl-mb,20210127-XLSR53_transformer-L02,0.2907,0.18409,0.068,0.88317841
wrl-mb,20210127-XLSR53_transformer-L03,0.2803,0.17772,0.101,0.89553841
wrl-mb,20210127-XLSR53_transformer-L04,0.2908,0.17714,0.092,0.91316805
wrl-mb,20210127-XLSR53_transformer-L05,0.253,0.19555,0.066,0.88743132
wrl-mb,20210127-XLSR53_transformer-L06,0.2606,0.19779,0.05,0.89629121
wrl-mb,20210127-XLSR53_transformer-L07,0.2712,0.19929,0.034,0.89429877
wrl-mb,20210127-XLSR53_transformer-L08,0.2755,0.19805,0.034,0.8993734
wrl-mb,20210127-XLSR53_transformer-L09,0.2374,0.2064,0.043,0.89909363
wrl-mb,20210127-XLSR53_transformer-L10,0.2444,0.21687,0,0.89335588
wrl-mb,20210127-XLSR53_transformer-L11,0.2378,0.21875,0,0.89148877
wrl-mb,20210127-XLSR53_transformer-L12,0.2537,0.21263,0.005,0.90300734
wrl-mb,20210127-XLSR53_transformer-L13,0.2396,0.20835,0.034,0.90672541
wrl-mb,20210127-XLSR53_transformer-L14,0.2393,0.21012,0.029,0.89820293
wrl-mb,20210127-XLSR53_transformer-L15,0.2456,0.20819,0.029,0.89499341
wrl-mb,20210127-XLSR53_transformer-L16,0.2292,0.20511,0.056,0.90058112
wrl-mb,20210127-XLSR53_transformer-L17,0.2324,0.20542,0.052,0.89969534
wrl-mb,20210127-XLSR53_transformer-L18,0.2423,0.19034,0.094,0.90752183
wrl-mb,20210127-XLSR53_transformer-L19,0.242,0.21368,0.014,0.89058489
wrl-mb,20210127-XLSR53_transformer-L20,0.2194,0.21761,0.022,0.88672163
wrl-mb,20210127-XLSR53_transformer-L21,0.2073,0.21556,0.042,0.88753622
wrl-mb,20210127-XLSR53_transformer-L22,0.2041,0.22844,0,0.465277
wrl-mb,20210127-XLSR53_transformer-L23,0.2041,0.22844,0,0.4657905
wrl-mb,20210127-XLSR53_transformer-L24,0.2041,0.22844,0,0.46535978
wrm-pd,20210127-XLSR53_encoder,0.6706,0.02932,0.227,0.88421882
wrm-pd,20210127-XLSR53_quantizer,0.3058,0.09896,0.349,0.71550149
wrm-pd,20210127-XLSR53_transformer-L01,0.3333,0.09436,0.338,0.91610327
wrm-pd,20210127-XLSR53_transformer-L02,0.3021,0.06419,0.474,0.93438684
wrm-pd,20210127-XLSR53_transformer-L03,0.3194,0.09017,0.366,0.93003311
wrm-pd,20210127-XLSR53_transformer-L04,0.2924,0.0847,0.413,0.93537073
wrm-pd,20210127-XLSR53_transformer-L05,0.2658,0.07714,0.465,0.92981684
wrm-pd,20210127-XLSR53_transformer-L06,0.2538,0.11022,0.362,0.92440722
wrm-pd,20210127-XLSR53_transformer-L07,0.2604,0.09905,0.394,0.92829377
wrm-pd,20210127-XLSR53_transformer-L08,0.2218,0.11142,0.39,0.92697774
wrm-pd,20210127-XLSR53_transformer-L09,0.2366,0.07249,0.511,0.93604389
wrm-pd,20210127-XLSR53_transformer-L10,0.2259,0.09925,0.428,0.93312712
wrm-pd,20210127-XLSR53_transformer-L11,0.2036,0.0954,0.464,0.93320478
wrm-pd,20210127-XLSR53_transformer-L12,0.206,0.05457,0.604,0.94320537
wrm-pd,20210127-XLSR53_transformer-L13,0.2026,0.13407,0.33,0.93005497
wrm-pd,20210127-XLSR53_transformer-L14,0.187,0.11611,0.408,0.93010403
wrm-pd,20210127-XLSR53_transformer-L15,0.1776,0.09049,0.507,0.93783073
wrm-pd,20210127-XLSR53_transformer-L16,0.1962,0.09685,0.466,0.93793224
wrm-pd,20210127-XLSR53_transformer-L17,0.179,0.07889,0.546,0.94295213
wrm-pd,20210127-XLSR53_transformer-L18,0.179,0.07509,0.559,0.9422652
wrm-pd,20210127-XLSR53_transformer-L19,0.1595,0.06938,0.599,0.9447597
wrm-pd,20210127-XLSR53_transformer-L20,0.1442,0.06411,0.632,0.94371455
wrm-pd,20210127-XLSR53_transformer-L21,0.1462,0.06266,0.635,0.94398597
wrm-pd,20210127-XLSR53_transformer-L22,0.0154,0.03129,0.876,0.93771308
wrm-pd,20210127-XLSR53_transformer-L23,0.0153,0.03025,0.879,0.93849607
wrm-pd,20210127-XLSR53_transformer-L24,0.0157,0.08222,0.698,0.90360901
