dataset,features,mtwv,p_fa,p_miss,desc_score
mwf-jm,20210225-Large-0FT_transformer-L13,0.5521,0.03297,0.333,0.83258119
mwf-jm,20210225-Large-0FT_transformer-L14,0.5177,0.02899,0.381,0.8418302
mwf-jm,20210225-Large-0FT_transformer-L15,0.4482,0.03766,0.421,0.85180349
mwf-jm,20210225-Large-0FT_transformer-L16,0.4173,0.07573,0.319,0.84512625
mwf-jm,20210225-Large-0FT_transformer-L17,0.4144,0.06411,0.362,0.84560455
mwf-jm,20210225-Large-0FT_transformer-L18,0.3447,0.05679,0.457,0.83278866
mwf-jm,20210225-Large-0FT_transformer-L19,0.3591,0.04268,0.492,0.82220615
mwf-jm,20210225-Large-0FT_transformer-L20,0.324,0.0803,0.396,0.78845678
mwf-jm,20210225-Large-0FT_transformer-L21,0.2174,0.03814,0.65,0.84608185
mwf-jm,20210225-Large-0FT_transformer-L22,0.1271,0.0995,0.526,0.8909023
mwf-jm,20210225-Large-0FT_transformer-L23,0.0798,0.10111,0.568,0.91763213
mwf-jm,20210225-Large-0FT_transformer-L24,0.0883,0.14419,0.409,0.91913276
mwf-jm,bnf,0.2783,0.06529,0.494,0.89289105
mwf-jm,mfcc,0.1424,0.02806,0.76,0.84958981
pjt-sw01,20210225-Large-0FT_encoder,0.5757,0.08348,0.133,0.82046604
pjt-sw01,20210225-Large-0FT_quantizer,0.5611,0.11969,0.022,0.63756187
pjt-sw01,20210225-Large-0FT_transformer-L01,0.5452,0.12608,0.015,0.75721195
pjt-sw01,20210225-Large-0FT_transformer-L02,0.5667,0.11582,0.03,0.77329086
pjt-sw01,20210225-Large-0FT_transformer-L03,0.5643,0.10423,0.073,0.78763037
pjt-sw01,20210225-Large-0FT_transformer-L04,0.5915,0.07633,0.143,0.79476115
pjt-sw01,20210225-Large-0FT_transformer-L05,0.6089,0.08972,0.079,0.7692562
pjt-sw01,20210225-Large-0FT_transformer-L06,0.5935,0.10417,0.044,0.77170013
pjt-sw01,20210225-Large-0FT_transformer-L07,0.6104,0.06609,0.159,0.82555527
pjt-sw01,20210225-Large-0FT_transformer-L08,0.6188,0.10289,0.023,0.80169757
pjt-sw01,20210225-Large-0FT_transformer-L09,0.6333,0.08094,0.085,0.81096717
pjt-sw01,20210225-Large-0FT_transformer-L10,0.6217,0.08104,0.096,0.78050705
pjt-sw01,20210225-Large-0FT_transformer-L11,0.6608,0.0472,0.175,0.81832547
pjt-sw01,20210225-Large-0FT_transformer-L12,0.6502,0.05804,0.148,0.78125917
pjt-sw01,20210225-Large-0FT_transformer-L13,0.6103,0.05463,0.199,0.77937686
pjt-sw01,20210225-Large-0FT_transformer-L14,0.5956,0.09487,0.074,0.7429729
pjt-sw01,20210225-Large-0FT_transformer-L15,0.5705,0.10494,0.064,0.73813043
pjt-sw01,20210225-Large-0FT_transformer-L16,0.5934,0.08385,0.114,0.81657633
pjt-sw01,20210225-Large-0FT_transformer-L17,0.6007,0.09877,0.055,0.81297942
pjt-sw01,20210225-Large-0FT_transformer-L18,0.571,0.07735,0.159,0.81259052
pjt-sw01,20210225-Large-0FT_transformer-L19,0.5696,0.10067,0.08,0.75452245
