dataset,features,mtwv,p_fa,p_miss,desc_score
gbb-lg,wav2vec2-large-xlsr-53_transformer-L20,0.5026,0.07222,0.246,0.86507828
gbb-lg,wav2vec2-large-xlsr-53_transformer-L21,0.5882,0.04771,0.246,0.86312076
gbb-lg,wav2vec2-large-xlsr-53_transformer-L22,0.0513,0.11161,0.56,0.98118703
gbb-lg,wav2vec2-large-xlsr-53_transformer-L23,0.038,0.07976,0.684,0.98462311
gbb-lg,wav2vec2-large-xlsr-53_transformer-L24,0.0446,0.08711,0.652,0.98514025
gbb-pd,20210225-Large-0FT_encoder,0.761,0.02916,0.137,0.89789178
gbb-pd,20210225-Large-0FT_quantizer,0.4302,0.0591,0.364,0.72372506
gbb-pd,20210225-Large-0FT_transformer-L01,0.6415,0.04697,0.195,0.88566176
gbb-pd,20210225-Large-0FT_transformer-L02,0.6426,0.03331,0.241,0.88641119
gbb-pd,20210225-Large-0FT_transformer-L03,0.6627,0.03092,0.23,0.88406054
gbb-pd,20210225-Large-0FT_transformer-L04,0.7162,0.03874,0.149,0.87110775
gbb-pd,20210225-Large-0FT_transformer-L05,0.7342,0.02865,0.166,0.87864954
gbb-pd,20210225-Large-0FT_transformer-L06,0.7195,0.035,0.159,0.87589662
gbb-pd,20210225-Large-0FT_transformer-L07,0.7039,0.03085,0.189,0.88778681
gbb-pd,20210225-Large-0FT_transformer-L08,0.6891,0.03504,0.189,0.89137332
gbb-pd,20210225-Large-0FT_transformer-L09,0.7495,0.03164,0.14,0.89229767
gbb-pd,20210225-Large-0FT_transformer-L10,0.8183,0.02119,0.108,0.89077006
gbb-pd,20210225-Large-0FT_transformer-L11,0.8507,0.0204,0.078,0.88619331
gbb-pd,20210225-Large-0FT_transformer-L12,0.8443,0.01829,0.092,0.87943757
gbb-pd,20210225-Large-0FT_transformer-L13,0.8343,0.02007,0.096,0.87305946
gbb-pd,20210225-Large-0FT_transformer-L14,0.799,0.02052,0.13,0.88047114
gbb-pd,20210225-Large-0FT_transformer-L15,0.7652,0.02283,0.155,0.89709805
gbb-pd,20210225-Large-0FT_transformer-L16,0.737,0.03249,0.15,0.90675295
gbb-pd,20210225-Large-0FT_transformer-L17,0.6986,0.02464,0.216,0.91068916
gbb-pd,20210225-Large-0FT_transformer-L18,0.7062,0.03613,0.168,0.89024946
gbb-pd,20210225-Large-0FT_transformer-L19,0.6986,0.03597,0.176,0.88357118
gbb-pd,20210225-Large-0FT_transformer-L20,0.687,0.03404,0.194,0.87749844
gbb-pd,20210225-Large-0FT_transformer-L21,0.6266,0.04717,0.209,0.87994365
gbb-pd,20210225-Large-0FT_transformer-L22,0.4783,0.0588,0.317,0.91538431
